"","title","body"
"1","문희상 국회의장, 2월 임시회 관련 국회의원 전원에게 서한 보내","문희상 국회의장은 12일 여야 국회의원 전원에게 보낸 친전서한에서 2월 임시국회와 관련해 “국회는 초당적인 자세로 입법부 본연의 임무에 매진해야 한다”면서 “제20대..."
"2","한국당 ""정의당 비례대표 통해 민노총 국회입성 움직임 포착""","투표로 정하겠다는 정의당의 방침에 발 맞춰, 민노총으로 대표되는 특권귀족노조의 국회입성 움직임이 포착되고 있다”고 밝혔다. 황 부대변인은 “지난 달 14일 심상정..."
"3","윤상현의원, 세계평화국회의원연합 총회에서 기조연설","국회 외교통일위원장으로 활동하고 있는 자유한국당 윤상현 국회의원이 세계평화국회의원연합 총회 기조연설 영상을 공개했다. 윤상현 의원은 기조연설에서 “한반도 평화를..."
"4","'제21대 국회의원 선거' 선거사범 단속대책 회의","뉴스1) 박정호 기자 = 민갑룡 경찰청장이 13일 서울 서대문구 경찰청에서 '제21대 국회의원 선거' 선거사범 단속대책 회의를 하고 있다. 경찰청은 오는 4월15일 치러질 제..."
"5","국회는 4.15총선을 통해 ‘반통일 아성’에서 ‘통일의 전당’으...","모름지기국회란백성들을대변하는민의의전당이다.여기서우리국회가백성들의의사를과연대변해왔고대변하고있는지를한번쯤은생각해볼필요가있다.우리의소원은통일,꿈에도소원은..."
"6","[국회의 시간] 박찬대 ""코로나 19는 지구의 문제…'중국 차단' 능...","【김민주 기자】내가 뽑은 국회의원이 민심을 잘 대변하고 있는지 확인해보는 [국회의 시간]. 인천 연수구갑 박찬대 의원과 함께합니다. 안녕하십니까.---● 인천 연수구갑..."
"7","[국회작동법 3부]① '최악의 국회' 데칼코마니..21대 국회는?","----- 뉴스타파 총선기획 프로젝트 <국회작동법> 매번 ‘최악의 국회’라는 평가를 받고 있는 국회. 뉴스타파는 국회가 어떻게 작동하기에 이렇게 항상 욕을 먹는지 실상을..."
"8","""무노동·무임금 원칙 실천해 신뢰받는 국회의원 되겠다""","[서울신문] 김만수 더불어민주당 부천오정 예비후보 “21대 국회에 입성해 일하는 국회, 책임지는 정치를 위해 국회의원의 3가지 특권을 포기하는 데 앞장서겠습니다.” 4월..."
"9","혁신도시 운명 가를 국회 산자위 20일 열려","대전·충남 혁신도시 지정을 위한 국회 상임위 일정이 확정되면서 법안 통과 여부에 관심이 집중되고 있다. 13일 정치권 등에 따르면 국회 산업통상자원중소벤처기업위원회..."
"10","문희상 국회의장, 2월 임시회 관련 국회의원 전원에게 서한","[더코리아뉴스] 조현상 기자 = 문희상 국회의장은 17일에 열리는 2월 임시국회와 관련해 국회는 초당적인 자세로 입법부 본연의 임무에 매진해야 한다 면서 제20대 국회의..."
"11","[연합시론] 20대국회 마지막 일할 기회, 임시국회서 민생 챙겨야 ...","(서울=연합뉴스) 여야의 2월 임시국회 의사 일정 합의는 가뭄에 단비 같은 소식이다. 4월 총선 준비로 영일이 없겠지만 정당들이 입법 사무에 힘쓸 제20대 국회의 마지막..."
"12","“마지막 기회다. 2월 국회서 4<U+2027>3특별법 즉각 처리해야”","[일간제주]오는 2월 17일부터 3월 17일까지 30일간 2월 임기국회를 열기로 여<U+2027>야간 합의했다고 한다.2월 임시국회는 20대 국회 법안처리를 위한 사실상의 마지막 기회다..."
"13","“2월 국회서 4·3특별법 즉각 처리하라”","제주4.3기념사업위원회는 13일 성명을 내고 “2월 국회에서 4.3특별법을 즉각 처리하라”고 촉구했다. 위원회는 “2월 임시국회는 20대 국회 법안처리를 위한 사실상의..."
"14","<포토> 문희상 국회의장 예방한 싱하이밍 주한 중국대사","13일 국회의장실을 방문한 싱하이밍 주한중국대사가 문희상 국회의장, 이인영 더불어민주당 원내대표(한중외교안보포럼 부회장)와 인사를 나누고 있다. ⓒ데일리안 박항구..."
